Accident_ID,State,Date,Time,Reason,Number_of_Deaths,Number_of_Injuries,Road_Type,Weather_Conditions,Alcohol_Involved,Driver_Fatigue,Road_Conditions,Speed_Limit
1022,Tamil Nadu,2021-07-22,18:20:00,Speeding,4,1,Rural,Foggy,No,No,Poor,70
1023,Gujarat,2021-08-31,11:50:00,Drunk driving,2,4,Urban,Sunny,Yes,No,Fair,50
1024,Punjab,2021-09-19,09:30:00,Poor road conditions,1,6,Rural,Rainy,No,No,Poor,60
1025,Rajasthan,2021-06-05,16:25:00,Driver fatigue,1,2,Urban,Sunny,No,Yes,Good,60
1026,Haryana,2021-08-21,21:15:00,Speeding,3,3,Rural,Sunny,No,No,Fair,90
1027,Uttar Pradesh,2021-09-15,06:30:00,Drunk driving,2,2,Urban,Foggy,Yes,No,Good,50
1028,West Bengal,2021-06-29,10:40:00,Poor road conditions,1,5,Rural,Sunny,No,No,Good,70
1029,Assam,2021-08-07,14:55:00,Speeding,2,2,Urban,Rainy,No,No,Fair,50
1030,Madhya Pradesh,2021-09-09,17:10:00,Driver fatigue,1,4,Rural,Sunny,No,Yes,Good,80
1031,Odisha,2021-07-18,11:20:00,Poor road conditions,1,3,Urban,Sunny,No,No,Poor,60
1032,Bihar,2021-08-23,08:45:00,Drunk driving,2,3,Rural,Foggy,Yes,No,Poor,70
1033,Jharkhand,2021-09-25,19:30:00,Speeding,3,1,Urban,Sunny,No,No,Good,50
1034,Chhattisgarh,2021-06-15,14:10:00,Driver fatigue,1,2,Rural,Sunny,No,Yes,Fair,60
1035,Uttarakhand,2021-08-12,17:50:00,Poor road conditions,1,4,Urban,Rainy,No,No,Poor,50
1036,Himachal Pradesh,2021-09-29,10:25:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Good,80
1037,Telangana,2021-06-08,13:40:00,Driver fatigue,1,1,Urban,Sunny,No,Yes,Fair,70
1038,Goa,2021-08-18,07:30:00,Speeding,2,4,Rural,Sunny,No,No,Good,90
1039,Karnataka,2022-03-14,08:15:00,Drunk driving,1,4,Urban,Rainy,Yes,No,Fair,50
1040,Delhi,2022-03-15,23:45:00,Poor road conditions,0,2,Urban,Foggy,No,No,Poor,40
1041,Gujarat,2022-03-15,18:30:00,Speeding,3,2,Rural,Sunny,Yes,No,Good,70
1042,West Bengal,2022-03-16,13:00:00,Driver fatigue,1,1,Urban,Sunny,No,Yes,Fair,60
1043,Maharashtra,2022-03-16,22:00:00,Poor road conditions,0,5,Rural,Sunny,No,No,Poor,50
1044,Kerala,2022-03-17,07:30:00,Drunk driving,2,3,Rural,Foggy,Yes,No,Fair,60
1045,Assam,2022-03-17,14:15:00,Speeding,1,2,Urban,Sunny,No,No,Fair,40
1046,Odisha,2022-03-18,09:45:00,Driver fatigue,1,4,Urban,Rainy,No,Yes,Poor,50
1047,Tamil Nadu,2022-03-18,19:30:00,Drunk driving,3,1,Urban,Foggy,Yes,No,Fair,60
1048,Madhya Pradesh,2022-03-19,11:00:00,Speeding,0,3,Rural,Sunny,No,No,Good,80
1049,Rajasthan,2022-03-19,20:45:00,Poor road conditions,2,2,Urban,Foggy,No,No,Poor,40
1050,Chhattisgarh,2022-03-20,07:30:00,Driver fatigue,0,2,Rural,Sunny,No,Yes,Fair,60
1051,Karnataka,2021-07-15,10:45:00,Driver Fatigue,1,4,Urban,Rainy,No,Yes,Fair,50
1052,Maharashtra,2021-07-16,18:15:00,Poor Road Conditions,3,2,Rural,Foggy,No,No,Poor,80
1053,Uttar Pradesh,2021-07-17,21:30:00,Drunk Driving,2,2,Urban,Sunny,Yes,No,Good,60
1054,West Bengal,2021-07-17,09:00:00,Speeding,1,3,Rural,Sunny,No,No,Good,80
1055,Tamil Nadu,2021-07-18,16:00:00,Poor Road Conditions,4,1,Urban,Sunny,No,No,Fair,50
1056,Maharashtra,2021-07-18,21:15:00,Driver Fatigue,1,5,Urban,Sunny,No,Yes,Good,60
1057,Punjab,2021-07-19,07:30:00,Drunk Driving,2,2,Urban,Sunny,Yes,No,Good,50
1058,Andhra Pradesh,2021-07-20,14:00:00,Speeding,3,4,Rural,Sunny,No,No,Good,80
1059,Kerala,2021-07-20,22:45:00,Driver Fatigue,2,3,Urban,Rainy,No,Yes,Poor,60
1060,Uttar Pradesh,2021-07-21,08:15:00,Poor Road Conditions,1,6,Rural,Foggy,No,No,Poor,50
1061,West Bengal,2021-07-22,13:30:00,Speeding,2,2,Urban,Sunny,No,No,Good,60
1062,Maharashtra,2021-07-23,09:00:00,Poor Road Conditions,1,5,Rural,Sunny,No,No,Poor,80
1063,Punjab,2021-07-23,19:30:00,Drunk Driving,3,3,Urban,Rainy,Yes,No,Fair,50
1064,Tamil Nadu,2021-07-24,11:45:00,Driver Fatigue,2,2,Urban,Sunny,No,Yes,Fair,60
1065,Andhra Pradesh,2021-07-25,08:00:00,Poor Road Conditions,4,1,Rural,Foggy,No,No,Good,80
1066,Kerala,2021-07-25,14:15:00,Speeding,1,4,Urban,Sunny,No,No,Fair,50
1067,Maharashtra,2021-07-26,21:30:00,Drunk Driving,2,2,Urban,Sunny,Yes,No,Good,60
1068,Uttar Pradesh,2021-07-27,15:00:00,Driver Fatigue,1,5,Rural,Sunny,No,Yes,Good,80
1069,West Bengal,2021-07-28,17:45:00,Poor Road Conditions,3,3,Urban,Rainy,No,No,Poor,50
1070,Tamil Nadu,2021-07-29,09:30:00,Drunk Driving,2,2,Urban,Sunny,Yes,No,Good,60
1071,Maharashtra,2021-05-15,02:45:00,Poor road conditions,1,4,Urban,Foggy,No,Yes,Poor,50
1072,West Bengal,2021-05-16,08:20:00,Drunk driving,3,2,Rural,Rainy,Yes,No,Good,80
1073,Andhra Pradesh,2021-05-17,19:10:00,Speeding,1,2,Urban,Sunny,No,Yes,Fair,60
1074,Karnataka,2021-05-18,12:15:00,Driver fatigue,2,5,Rural,Sunny,No,Yes,Poor,70
1075,Assam,2021-05-19,14:30:00,Poor road conditions,1,1,Urban,Rainy,No,No,Poor,40
1076,Tamil Nadu,2021-05-20,17:00:00,Speeding,1,3,Rural,Sunny,No,No,Good,90
1077,Uttar Pradesh,2021-05-21,09:45:00,Driver fatigue,2,2,Urban,Sunny,No,Yes,Poor,50
1078,Kerala,2021-05-22,21:30:00,Drunk driving,4,1,Rural,Foggy,Yes,No,Poor,60
1079,Maharashtra,2021-05-23,06:55:00,Poor road conditions,1,4,Urban,Rainy,No,No,Fair,40
1080,West Bengal,2021-05-24,15:10:00,Speeding,2,3,Rural,Sunny,No,No,Good,70
1081,Andhra Pradesh,2021-05-25,11:40:00,Driver fatigue,1,1,Urban,Sunny,No,Yes,Poor,50
1082,Karnataka,2021-05-26,16:15:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Poor,80
1083,Assam,2021-05-27,03:20:00,Poor road conditions,1,2,Urban,Foggy,No,Yes,Poor,60
1084,Tamil Nadu,2021-05-28,13:30:00,Speeding,1,1,Rural,Sunny,No,No,Good,90
1085,Uttar Pradesh,2021-05-29,19:45:00,Driver fatigue,2,3,Urban,Sunny,No,Yes,Poor,50
1086,Kerala,2021-05-30,07:20:00,Drunk driving,4,2,Rural,Rainy,Yes,No,Poor,60
1087,Maharashtra,2021-05-31,16:10:00,Poor road conditions,1,1,Urban,Sunny,No,No,Good,40
1088,West Bengal,2021-06-01,11:30:00,Speeding,2,2,Rural,Sunny,No,No,Good,70
1089,Andhra Pradesh,2021-06-02,03:55:00,Driver fatigue,1,3,Urban,Sunny,No,Yes,Poor,50
1090,Karnataka,2021-06-03,18:20:00,Drunk driving,3,1,Rural,Sunny,Yes,No,Poor,80
1091,Tamil Nadu,2021-06-20,22:15:00,Drunk Driving,3,2,Urban,Rainy,Yes,No,Good,50
1092,Karnataka,2021-06-21,07:30:00,Driver Fatigue,1,4,Rural,Sunny,No,Yes,Poor,70
1093,Maharashtra,2021-06-21,18:45:00,Poor Road Conditions,0,6,Urban,Foggy,No,No,Poor,40
1094,Gujarat,2021-06-22,10:20:00,Speeding,2,3,Rural,Sunny,No,No,Fair,60
1095,Punjab,2021-06-23,14:05:00,Drunk Driving,4,1,Urban,Rainy,Yes,No,Poor,50
1096,Haryana,2021-06-24,05:55:00,Speeding,1,2,Rural,Sunny,No,No,Good,70
1097,Andhra Pradesh,2021-06-25,12:40:00,Driver Fatigue,2,3,Urban,Sunny,No,Yes,Poor,50
1098,Karnataka,2021-06-26,19:30:00,Speeding,3,2,Rural,Sunny,No,No,Fair,60
1099,Maharashtra,2021-06-27,08:15:00,Drunk Driving,1,4,Urban,Foggy,Yes,No,Poor,40
1100,Gujarat,2021-06-28,15:25:00,Poor Road Conditions,0,5,Rural,Sunny,No,No,Good,70
1101,Assam,2022-03-15,23:45:00,Poor road conditions,1,2,Rural,Foggy,No,No,Poor,50
1102,Gujarat,2022-03-20,17:10:00,Speeding,3,4,Urban,Sunny,Yes,No,Good,60
1103,Maharashtra,2022-03-22,08:20:00,Drunk driving,2,1,Urban,Sunny,Yes,No,Good,50
1104,Assam,2022-03-24,10:15:00,Driver fatigue,1,3,Rural,Rainy,No,Yes,Fair,40
1105,Karnataka,2022-03-27,19:30:00,Speeding,4,2,Urban,Foggy,Yes,No,Poor,60
1106,Andhra Pradesh,2022-03-29,06:45:00,Poor road conditions,1,1,Urban,Rainy,No,No,Poor,50
1107,Kerala,2022-04-02,11:20:00,Speeding,2,1,Urban,Sunny,Yes,No,Good,60
1108,Madhya Pradesh,2022-04-04,14:30:00,Drunk driving,3,3,Rural,Sunny,Yes,No,Poor,50
1109,Gujarat,2022-04-06,09:15:00,Poor road conditions,1,4,Urban,Rainy,No,No,Poor,60
1110,Odisha,2022-04-08,20:30:00,Driver fatigue,2,2,Rural,Foggy,No,Yes,Good,40
1111,Rajasthan,2022-04-11,12:10:00,Speeding,1,1,Urban,Sunny,Yes,No,Fair,50
1112,Tamil Nadu,2022-04-15,18:00:00,Drunk driving,3,3,Urban,Sunny,Yes,No,Fair,60
1113,Assam,2022-04-18,07:45:00,Poor road conditions,1,2,Rural,Rainy,No,No,Good,50
1114,Punjab,2022-04-20,15:20:00,Driver fatigue,1,1,Urban,Sunny,No,Yes,Poor,60
1115,Karnataka,2022-04-23,11:30:00,Speeding,2,1,Rural,Foggy,Yes,No,Good,40
1116,Andhra Pradesh,2022-04-25,22:10:00,Drunk driving,1,3,Urban,Sunny,Yes,No,Poor,50
1117,Kerala,2022-04-27,09:30:00,Poor road conditions,1,2,Urban,Rainy,No,No,Fair,60
1118,Maharashtra,2022-04-30,16:15:00,Driver fatigue,2,4,Rural,Sunny,No,Yes,Good,50
1119,Tamil Nadu,2022-05-01,08:40:00,Speeding,1,1,Urban,Sunny,Yes,No,Fair,60
1120,Gujarat,2022-05-04,19:00:00,Drunk driving,3,2,Rural,Foggy,Yes,No,Poor,40
1121,Maharashtra,2021-06-05,08:45:00,Poor road conditions,1,4,Urban,Rainy,No,No,Poor,40
1122,Karnataka,2021-06-06,19:15:00,Speeding,1,2,Rural,Sunny,Yes,No,Good,80
1123,Tamil Nadu,2021-06-07,06:30:00,Driver fatigue,3,1,Urban,Sunny,No,Yes,Good,50
1124,Rajasthan,2021-06-08,11:00:00,Speeding,2,2,Rural,Sunny,No,No,Poor,60
1125,Andhra Pradesh,2021-06-09,14:20:00,Drunk driving,1,3,Urban,Sunny,Yes,No,Fair,50
1126,Gujarat,2021-06-10,21:10:00,Speeding,1,1,Rural,Sunny,No,No,Good,70
1127,Kerala,2021-06-11,03:30:00,Driver fatigue,2,2,Urban,Sunny,No,Yes,Good,40
1128,Maharashtra,2021-06-12,12:15:00,Poor road conditions,1,4,Urban,Rainy,No,No,Poor,50
1129,Karnataka,2021-06-13,16:40:00,Speeding,3,1,Rural,Sunny,Yes,No,Good,90
1130,Tamil Nadu,2021-06-14,08:55:00,Driver fatigue,2,2,Urban,Sunny,No,Yes,Good,40
1131,West Bengal,2022-02-03,08:15:00,Speeding,1,4,Urban,Snowy,Yes,No,Poor,50
1132,Odisha,2021-11-14,22:00:00,Drunk driving,2,2,Rural,Rainy,Yes,No,Good,70
1133,Andhra Pradesh,2022-01-01,04:30:00,Driver fatigue,1,3,Rural,Sunny,No,Yes,Good,60
1134,Gujarat,2022-03-19,19:20:00,Poor road conditions,0,5,Urban,Foggy,No,No,Poor,40
1135,Maharashtra,2021-10-11,11:40:00,Speeding,3,0,Urban,Sunny,No,No,Fair,50
1136,Karnataka,2022-04-05,06:45:00,Drunk driving,1,4,Urban,Sunny,Yes,No,Fair,60
1137,Delhi,2021-12-12,21:00:00,Speeding,0,2,Urban,Rainy,Yes,No,Poor,50
1138,Uttar Pradesh,2022-05-09,14:30:00,Poor road conditions,2,3,Rural,Sunny,No,No,Poor,80
1139,Chhattisgarh,2022-02-23,16:00:00,Driver fatigue,1,1,Rural,Sunny,No,Yes,Good,60
1140,Tamil Nadu,2022-03-05,23:30:00,Speeding,4,0,Urban,Foggy,No,No,Poor,40
1141,Kerala,2021-10-21,03:15:00,Drunk driving,1,3,Rural,Sunny,Yes,No,Fair,70
1142,Assam,2022-04-20,10:30:00,Driver fatigue,0,2,Rural,Sunny,No,Yes,Fair,60
1143,Rajasthan,2021-11-07,17:00:00,Speeding,2,1,Urban,Sunny,No,No,Poor,50
1144,Madhya Pradesh,2022-01-12,06:20:00,Poor road conditions,0,6,Rural,Sunny,No,No,Good,60
1145,Jharkhand,2022-02-07,14:50:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Poor,70
1146,Punjab,2022-03-15,19:30:00,Driver fatigue,1,0,Urban,Rainy,No,Yes,Poor,50
1147,Haryana,2021-10-29,22:15:00,Speeding,0,3,Rural,Sunny,No,No,Fair,60
1148,Tamil Nadu,2022-02-22,09:15:00,Poor road conditions,1,4,Urban,Foggy,No,Yes,Poor,40
1149,Andhra Pradesh,2022-03-05,16:30:00,Drunk driving,3,2,Rural,Rainy,Yes,No,Fair,80
1150,Karnataka,2022-03-15,10:20:00,Speeding,2,5,Urban,Sunny,No,No,Good,60
1151,Maharashtra,2022-03-25,19:40:00,Driver fatigue,1,3,Rural,Clear,No,Yes,Good,80
1152,Assam,2022-04-07,06:15:00,Speeding,3,1,Urban,Foggy,No,No,Good,50
1153,Kerala,2022-04-18,14:10:00,Drunk driving,2,2,Rural,Rainy,Yes,No,Poor,60
1154,Odisha,2022-04-28,08:00:00,Poor road conditions,1,6,Urban,Foggy,No,No,Poor,50
1155,Rajasthan,2022-05-05,11:30:00,Driver fatigue,2,4,Rural,Sunny,No,Yes,Fair,70
1156,Telangana,2022-05-15,13:20:00,Speeding,1,2,Urban,Sunny,No,No,Good,60
1157,Chhattisgarh,2022-05-28,18:15:00,Drunk driving,4,3,Rural,Rainy,Yes,No,Poor,40
1158,West Bengal,2022-06-07,20:00:00,Poor road conditions,2,5,Urban,Foggy,No,No,Fair,50
1159,Delhi,2022-06-19,22:10:00,Driver fatigue,1,2,Rural,Clear,No,Yes,Good,60
1160,Goa,2022-07-02,17:30:00,Speeding,3,3,Urban,Sunny,No,No,Poor,70
1161,Haryana,2022-07-11,14:20:00,Drunk driving,2,2,Rural,Rainy,Yes,No,Good,80
1162,Manipur,2022-07-25,06:45:00,Poor road conditions,1,4,Urban,Foggy,No,No,Poor,40
1163,Meghalaya,2022-08-01,11:10:00,Speeding,3,1,Rural,Sunny,No,No,Fair,60
1164,Mizoram,2022-08-15,15:40:00,Driver fatigue,1,2,Urban,Sunny,No,Yes,Good,50
1165,Nagaland,2022-08-28,19:20:00,Drunk driving,2,3,Rural,Rainy,Yes,No,Good,80
1166,Punjab,2022-09-06,08:00:00,Speeding,1,3,Urban,Sunny,No,No,Poor,70
1167,Sikkim,2022-09-20,10:30:00,Poor road conditions,1,5,Rural,Foggy,No,No,Good,50
1168Sikkim,2022-09-20,10:30:00,Poor road conditions,1,5,Rural,Foggy,No,No,Good,50
1169,Tamil Nadu,2022-02-12,06:15:00,Poor road conditions,2,5,Urban,Rainy,No,No,Poor,40
1170,Karnataka,2022-02-14,13:30:00,Speeding,1,3,Rural,Sunny,No,Yes,Fair,80
1171,Maharashtra,2022-02-14,21:45:00,Drunk driving,3,2,Urban,Foggy,Yes,No,Fair,60
1172,Uttar Pradesh,2022-02-15,08:00:00,Driver fatigue,1,4,Rural,Sunny,No,Yes,Good,70
1173,Andhra Pradesh,2022-02-16,12:15:00,Poor road conditions,2,2,Rural,Sunny,No,No,Fair,50
1174,Telangana,2022-02-17,18:30:00,Speeding,1,6,Urban,Foggy,No,Yes,Good,60
1175,Rajasthan,2022-02-18,22:00:00,Drunk driving,4,1,Rural,Rainy,Yes,No,Poor,80
1176,Odisha,2022-02-20,16:45:00,Driver fatigue,2,3,Urban,Sunny,No,Yes,Fair,40
1177,Kerala,2022-02-20,08:30:00,Poor road conditions,3,2,Rural,Foggy,No,No,Good,60
1178,Gujarat,2022-02-22,14:00:00,Speeding,1,3,Urban,Rainy,No,No,Poor,50
1179,Assam,2022-02-22,17:45:00,Drunk driving,2,4,Rural,Sunny,Yes,No,Poor,70
1180,Punjab,2022-02-23,09:30:00,Driver fatigue,3,2,Urban,Foggy,No,Yes,Good,80
1181,Haryana,2022-02-24,22:00:00,Poor road conditions,1,5,Rural,Sunny,No,No,Fair,40
1182,Jharkhand,2022-02-26,13:15:00,Speeding,2,3,Urban,Sunny,Yes,No,Fair,60
1183,Madhya Pradesh,2022-02-26,07:30:00,Drunk driving,3,2,Rural,Foggy,Yes,No,Good,50
1184,West Bengal,2022-02-27,16:45:00,Driver fatigue,1,4,Urban,Sunny,No,Yes,Poor,70
1185,Bihar,2022-02-28,19:30:00,Poor road conditions,2,3,Rural,Rainy,No,No,Fair,80
1186,Uttarakhand,2022-03-01,11:00:00,Speeding,1,2,Urban,Sunny,No,Yes,Good,50
1187,Maharashtra,2022-01-01,02:45:00,Drunk driving,3,2,Rural,Rainy,Yes,No,Fair,60
1188,West Bengal,2022-01-01,12:30:00,Poor road conditions,1,4,Urban,Foggy,No,Yes,Poor,50
1189,Telangana,2022-01-01,17:20:00,Speeding,2,1,Urban,Sunny,No,Yes,Good,50
1190,Karnataka,2022-01-02,09:15:00,Drunk driving,4,0,Rural,Sunny,Yes,No,Fair,70
1191,Gujarat,2022-01-02,20:05:00,Driver fatigue,1,2,Urban,Rainy,No,Yes,Poor,40
1192,Andhra Pradesh,2022-01-03,03:30:00,Drunk driving,2,3,Rural,Foggy,Yes,No,Fair,60
1193,Madhya Pradesh,2022-01-03,13:45:00,Poor road conditions,0,5,Urban,Sunny,No,No,Fair,40
1194,Tamil Nadu,2022-01-03,21:10:00,Drunk driving,3,1,Urban,Rainy,Yes,No,Good,50
1195,Uttar Pradesh,2022-01-04,06:20:00,Speeding,1,2,Rural,Sunny,No,No,Poor,60
1196,Maharashtra,2022-01-04,16:30:00,Driver fatigue,2,1,Urban,Foggy,No,Yes,Poor,40
1197,Delhi,2022-01-05,05:45:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Fair,70
1198,Karnataka,2022-01-05,14:20:00,Speeding,1,4,Urban,Sunny,No,Yes,Good,50
1199,Gujarat,2022-01-06,22:15:00,Poor road conditions,2,3,Urban,Rainy,No,No,Poor,40
1200,Andhra Pradesh,2022-01-07,08:10:00,Drunk driving,4,0,Rural,Sunny,Yes,No,Good,60
1201,Tamil Nadu,2022-01-07,18:20:00,Driver fatigue,0,5,Urban,Foggy,No,Yes,Fair,50
1202,West Bengal,2022-01-08,03:30:00,Drunk driving,3,2,Rural,Rainy,Yes,No,Fair,60
1203,Delhi,2022-01-08,11:40:00,Poor road conditions,1,2,Urban,Sunny,No,Yes,Poor,50
1204,Gujarat,2022-01-06,22:15:00,Poor road conditions,2,3,Urban,Rainy,No,No,Poor,40
1205,Andhra Pradesh,2022-02-15,19:30:00,Drunk driving,2,4,Urban,Foggy,Yes,Yes,Poor,50
1206,Kerala,2022-02-16,07:15:00,Speeding,1,3,Rural,Sunny,No,No,Good,70
1207,Assam,2022-02-16,16:50:00,Drunk driving,3,1,Rural,Sunny,Yes,No,Poor,60
1208,Delhi,2022-02-17,22:30:00,Poor road conditions,1,5,Urban,Snowy,No,No,Poor,50
1209,Haryana,2022-02-18,10:00:00,Driver fatigue,2,2,Rural,Sunny,No,Yes,Good,60
1210,Maharashtra,2022-02-18,15:20:00,Drunk driving,4,0,Urban,Rainy,Yes,No,Poor,40
1211,Tamil Nadu,2022-02-19,05:45:00,Speeding,1,3,Rural,Sunny,No,No,Good,70
1212,Gujarat,2022-02-20,21:00:00,Driver fatigue,3,2,Urban,Sunny,No,Yes,Good,50
1213,Rajasthan,2022-02-21,14:15:00,Drunk driving,2,1,Rural,Sunny,Yes,No,Poor,60
1214,Karnataka,2022-02-22,18:30:00,Speeding,1,2,Urban,Foggy,No,No,Poor,40
1215,West Bengal,2022-02-23,09:00:00,Poor road conditions,3,4,Rural,Rainy,No,No,Fair,50
1216,Odisha,2022-02-24,12:45:00,Drunk driving,4,0,Urban,Sunny,Yes,No,Fair,60
1217,Madhya Pradesh,2022-02-25,07:20:00,Driver fatigue,1,3,Rural,Sunny,No,Yes,Good,70
1218,Punjab,2022-02-26,20:15:00,Drunk driving,2,2,Urban,Sunny,Yes,No,Good,50
1219,Chhattisgarh,2022-02-27,16:10:00,Speeding,1,1,Rural,Sunny,No,No,Good,80
1220,Uttar Pradesh,2022-02-28,03:30:00,Drunk driving,3,0,Urban,Rainy,Yes,No,Fair,60
1221,Jharkhand,2022-03-01,09:40:00,Speeding,2,2,Rural,Sunny,No,No,Good,60
1222,Manipur,2022-03-02,14:25:00,Drunk driving,4,1,Rural,Sunny,Yes,No,Poor,50
1223,Maharashtra,2022-02-15,10:15:00,Speeding,2,5,Urban,Foggy,No,No,Good,50
1224,Andhra Pradesh,2022-02-16,23:30:00,Drunk driving,4,1,Rural,Sunny,Yes,No,Poor,70
1225,Delhi,2022-02-17,07:00:00,Driver fatigue,1,3,Urban,Sunny,No,Yes,Good,40
1226,West Bengal,2022-02-18,16:20:00,Poor road conditions,2,2,Rural,Rainy,No,No,Poor,60
1227,Assam,2022-02-19,19:15:00,Speeding,3,2,Urban,Sunny,No,No,Good,50
1228,Odisha,2022-02-20,12:00:00,Drunk driving,5,3,Rural,Sunny,Yes,No,Good,60
1229,Karnataka,2022-02-21,18:45:00,Driver fatigue,1,4,Urban,Sunny,No,Yes,Fair,40
1230,Andhra Pradesh,2022-02-22,06:30:00,Poor road conditions,2,2,Rural,Rainy,No,No,Poor,60
1231,Maharashtra,2022-02-23,14:00:00,Drunk driving,4,1,Urban,Sunny,Yes,No,Good,50
1232,Delhi,2022-02-24,21:15:00,Speeding,2,3,Urban,Foggy,No,No,Good,40
1233,West Bengal,2022-02-25,11:30:00,Driver fatigue,1,2,Rural,Sunny,No,Yes,Good,60
1234,Assam,2022-02-26,18:00:00,Poor road conditions,3,1,Urban,Rainy,No,No,Poor,50
1235,Odisha,2022-02-27,08:45:00,Speeding,2,5,Rural,Sunny,No,No,Good,60
1236,Karnataka,2022-02-28,14:20:00,Drunk driving,3,2,Rural,Sunny,Yes,No,Good,70
1237,Andhra Pradesh,2022-03-01,17:00:00,Poor road conditions,1,3,Urban,Sunny,No,No,Fair,40
1238,Maharashtra,2022-03-02,05:30:00,Speeding,2,2,Rural,Foggy,No,No,Poor,60
1239,Delhi,2022-03-03,12:15:00,Drunk driving,5,1,Urban,Sunny,Yes,No,Good,50
1240,West Bengal,2022-03-04,20:00:00,Driver fatigue,2,3,Rural,Sunny,No,Yes,Good,60
1241,Odisha,2022-05-07,11:20:00,Speeding,2,1,Rural,Sunny,Yes,No,Poor,60
1242,Madhya Pradesh,2022-05-09,22:30:00,Drunk driving,3,3,Urban,Rainy,Yes,No,Fair,50
1243,Assam,2022-05-12,08:15:00,Driver fatigue,1,2,Rural,Foggy,No,Yes,Good,40
1244,Punjab,2022-05-15,14:10:00,Poor road conditions,1,1,Urban,Sunny,No,No,Poor,50
1245,Andhra Pradesh,2022-05-17,19:45:00,Speeding,2,1,Rural,Sunny,Yes,No,Fair,60
1246,Karnataka,2022-05-20,09:30:00,Drunk driving,3,2,Urban,Rainy,Yes,No,Poor,50
1247,Tamil Nadu,2022-05-23,17:20:00,Poor road conditions,1,2,Rural,Foggy,No,No,Good,40
1248,Gujarat,2022-05-25,12:10:00,Driver fatigue,2,3,Urban,Sunny,No,Yes,Good,50
1249,Rajasthan,2022-05-27,20:30:00,Speeding,1,1,Rural,Sunny,Yes,No,Poor,60
1250,Assam,2022-05-30,10:15:00,Poor road conditions,1,2,Urban,Rainy,No,No,Fair,50
1251,Punjab,2022-06-01,16:40:00,Driver fatigue,1,1,Rural,Sunny,No,Yes,Poor,40
1252,Andhra Pradesh,2022-06-04,08:20:00,Drunk driving,2,1,Urban,Foggy,Yes,No,Good,50
1253,Kerala,2022-06-06,17:00:00,Speeding,3,2,Rural,Sunny,Yes,No,Fair,60
1254,Maharashtra,2022-06-09,12:30:00,Poor road conditions,1,2,Urban,Rainy,No,No,Good,50
1255,Tamil Nadu,2022-06-11,19:20:00,Driver fatigue,2,4,Rural,Sunny,No,Yes,Poor,40
1256,Gujarat,2022-06-14,09:10:00,Speeding,1,1,Urban,Foggy,Yes,No,Good,50
1257,Odisha,2022-06-16,18:30:00,Drunk driving,3,3,Rural,Rainy,Yes,No,Poor,60
